Trade Date,Underlying,Product Type,Exchange,Volume
2007/01/03,SPY,S,CBOE,62310
2007/01/04,SPY,S,CBOE,135252
2007/01/05,SPY,S,CBOE,86034
2007/01/08,SPY,S,CBOE,67638
2007/01/09,SPY,S,CBOE,92206
2007/01/10,SPY,S,CBOE,68067
2007/01/11,SPY,S,CBOE,93682
2007/01/12,SPY,S,CBOE,84769
2007/01/16,SPY,S,CBOE,131709
2007/01/17,SPY,S,CBOE,79296
2007/01/18,SPY,S,CBOE,75570
2007/01/19,SPY,S,CBOE,119429
2007/01/22,SPY,S,CBOE,56991
2007/01/23,SPY,S,CBOE,58097
2007/01/24,SPY,S,CBOE,72470
2007/01/25,SPY,S,CBOE,98394
2007/01/26,SPY,S,CBOE,125360
2007/01/29,SPY,S,CBOE,90891
2007/01/30,SPY,S,CBOE,54901
2007/01/31,SPY,S,CBOE,88352
2007/02/01,SPY,S,CBOE,69965
2007/02/02,SPY,S,CBOE,65846
2007/02/05,SPY,S,CBOE,36412
2007/02/06,SPY,S,CBOE,66317
2007/02/07,SPY,S,CBOE,73301
2007/02/08,SPY,S,CBOE,69375
2007/02/09,SPY,S,CBOE,90975
2007/02/12,SPY,S,CBOE,103724
2007/02/13,SPY,S,CBOE,115558
2007/02/14,SPY,S,CBOE,152526
2007/02/15,SPY,S,CBOE,68139
2007/02/16,SPY,S,CBOE,58797
2007/02/20,SPY,S,CBOE,78024
2007/02/21,SPY,S,CBOE,56343
2007/02/22,SPY,S,CBOE,59215
2007/02/23,SPY,S,CBOE,70846
2007/02/26,SPY,S,CBOE,94378
2007/02/27,SPY,S,CBOE,488130
2007/02/28,SPY,S,CBOE,295813
2007/03/01,SPY,S,CBOE,312923
2007/03/02,SPY,S,CBOE,225220
2007/03/05,SPY,S,CBOE,244658
2007/03/06,SPY,S,CBOE,212372
2007/03/07,SPY,S,CBOE,172070
2007/03/08,SPY,S,CBOE,167840
2007/03/09,SPY,S,CBOE,143534
2007/03/12,SPY,S,CBOE,116604
2007/03/13,SPY,S,CBOE,319495
2007/03/14,SPY,S,CBOE,369094
2007/03/15,SPY,S,CBOE,268366
2007/03/16,SPY,S,CBOE,179175
2007/03/19,SPY,S,CBOE,175488
2007/03/20,SPY,S,CBOE,144125
2007/03/21,SPY,S,CBOE,258737
2007/03/22,SPY,S,CBOE,162512
2007/03/23,SPY,S,CBOE,97539
2007/03/26,SPY,S,CBOE,124187
2007/03/27,SPY,S,CBOE,109599
2007/03/28,SPY,S,CBOE,158642
2007/03/29,SPY,S,CBOE,103688
2007/03/30,SPY,S,CBOE,210673
2007/04/02,SPY,S,CBOE,115636
2007/04/03,SPY,S,CBOE,140764
2007/04/04,SPY,S,CBOE,64477
2007/04/05,SPY,S,CBOE,81892
2007/04/09,SPY,S,CBOE,93512
2007/04/10,SPY,S,CBOE,143832
2007/04/11,SPY,S,CBOE,217187
2007/04/12,SPY,S,CBOE,129911
2007/04/13,SPY,S,CBOE,110086
2007/04/16,SPY,S,CBOE,230445
2007/04/17,SPY,S,CBOE,225901
2007/04/18,SPY,S,CBOE,173732
2007/04/19,SPY,S,CBOE,163117
2007/04/20,SPY,S,CBOE,291235
2007/04/23,SPY,S,CBOE,131257
2007/04/24,SPY,S,CBOE,135747
2007/04/25,SPY,S,CBOE,177543
2007/04/26,SPY,S,CBOE,103838
2007/04/27,SPY,S,CBOE,98619
2007/04/30,SPY,S,CBOE,102135
2007/05/01,SPY,S,CBOE,183822
2007/05/02,SPY,S,CBOE,144713
2007/05/03,SPY,S,CBOE,107625
2007/05/04,SPY,S,CBOE,109312
2007/05/07,SPY,S,CBOE,131851
2007/05/08,SPY,S,CBOE,120974
2007/05/09,SPY,S,CBOE,116471
2007/05/10,SPY,S,CBOE,155295
2007/05/11,SPY,S,CBOE,119422
2007/05/14,SPY,S,CBOE,100922
2007/05/15,SPY,S,CBOE,151822
2007/05/16,SPY,S,CBOE,100154
2007/05/17,SPY,S,CBOE,127724
2007/05/18,SPY,S,CBOE,140501
2007/05/21,SPY,S,CBOE,155535
2007/05/22,SPY,S,CBOE,83726
2007/05/23,SPY,S,CBOE,149401
2007/05/24,SPY,S,CBOE,189621
2007/05/25,SPY,S,CBOE,144009
2007/05/29,SPY,S,CBOE,49479
2007/05/30,SPY,S,CBOE,107240
2007/05/31,SPY,S,CBOE,176263
2007/06/01,SPY,S,CBOE,114747
2007/06/04,SPY,S,CBOE,66132
2007/06/05,SPY,S,CBOE,114464
2007/06/06,SPY,S,CBOE,278792
2007/06/07,SPY,S,CBOE,422634
2007/06/08,SPY,S,CBOE,267281
2007/06/11,SPY,S,CBOE,179970
2007/06/12,SPY,S,CBOE,231224
2007/06/13,SPY,S,CBOE,233553
2007/06/14,SPY,S,CBOE,328076
2007/06/15,SPY,S,CBOE,245669
2007/06/18,SPY,S,CBOE,141216
2007/06/19,SPY,S,CBOE,74794
2007/06/20,SPY,S,CBOE,217596
2007/06/21,SPY,S,CBOE,169699
2007/06/22,SPY,S,CBOE,243248
2007/06/25,SPY,S,CBOE,187219
2007/06/26,SPY,S,CBOE,176500
2007/06/27,SPY,S,CBOE,258597
2007/06/28,SPY,S,CBOE,185687
2007/06/29,SPY,S,CBOE,200885
2007/07/02,SPY,S,CBOE,82053
2007/07/03,SPY,S,CBOE,85834
2007/07/05,SPY,S,CBOE,165799
2007/07/06,SPY,S,CBOE,163358
2007/07/09,SPY,S,CBOE,90713
2007/07/10,SPY,S,CBOE,212031
2007/07/11,SPY,S,CBOE,209018
2007/07/12,SPY,S,CBOE,172439
2007/07/13,SPY,S,CBOE,162733
2007/07/16,SPY,S,CBOE,150088
2007/07/17,SPY,S,CBOE,85921
2007/07/18,SPY,S,CBOE,181971
2007/07/19,SPY,S,CBOE,242824
2007/07/20,SPY,S,CBOE,416746
2007/07/23,SPY,S,CBOE,128141
2007/07/24,SPY,S,CBOE,268793
2007/07/25,SPY,S,CBOE,269071
2007/07/26,SPY,S,CBOE,532967
2007/07/27,SPY,S,CBOE,399097
2007/07/30,SPY,S,CBOE,318075
2007/07/31,SPY,S,CBOE,357171
2007/08/01,SPY,S,CBOE,418695
2007/08/02,SPY,S,CBOE,346410
2007/08/03,SPY,S,CBOE,297062
2007/08/06,SPY,S,CBOE,302089
2007/08/07,SPY,S,CBOE,252814
2007/08/08,SPY,S,CBOE,314145
2007/08/09,SPY,S,CBOE,348560
2007/08/10,SPY,S,CBOE,499972
2007/08/13,SPY,S,CBOE,366089
2007/08/14,SPY,S,CBOE,385051
2007/08/15,SPY,S,CBOE,470698
2007/08/16,SPY,S,CBOE,666909
2007/08/17,SPY,S,CBOE,729483
2007/08/20,SPY,S,CBOE,177977
2007/08/21,SPY,S,CBOE,191976
2007/08/22,SPY,S,CBOE,151157
2007/08/23,SPY,S,CBOE,287962
2007/08/24,SPY,S,CBOE,218171
2007/08/27,SPY,S,CBOE,126746
2007/08/28,SPY,S,CBOE,320513
2007/08/29,SPY,S,CBOE,174307
2007/08/30,SPY,S,CBOE,155347
2007/08/31,SPY,S,CBOE,150925
2007/09/04,SPY,S,CBOE,156859
2007/09/05,SPY,S,CBOE,216914
2007/09/06,SPY,S,CBOE,93875
2007/09/07,SPY,S,CBOE,259187
2007/09/10,SPY,S,CBOE,215266
2007/09/11,SPY,S,CBOE,154177
2007/09/12,SPY,S,CBOE,142776
2007/09/13,SPY,S,CBOE,190817
2007/09/14,SPY,S,CBOE,128957
2007/09/17,SPY,S,CBOE,316366
2007/09/18,SPY,S,CBOE,342877
2007/09/19,SPY,S,CBOE,285668
2007/09/20,SPY,S,CBOE,271840
2007/09/21,SPY,S,CBOE,319425
2007/09/24,SPY,S,CBOE,117833
2007/09/25,SPY,S,CBOE,165157
2007/09/26,SPY,S,CBOE,124593
2007/09/27,SPY,S,CBOE,125349
2007/09/28,SPY,S,CBOE,196084
2007/10/01,SPY,S,CBOE,169236
2007/10/02,SPY,S,CBOE,163136
2007/10/03,SPY,S,CBOE,142381
2007/10/04,SPY,S,CBOE,129721
2007/10/05,SPY,S,CBOE,324955
2007/10/08,SPY,S,CBOE,85498
2007/10/09,SPY,S,CBOE,126083
2007/10/10,SPY,S,CBOE,109921
2007/10/11,SPY,S,CBOE,253759
2007/10/12,SPY,S,CBOE,163448
2007/10/15,SPY,S,CBOE,199135
2007/10/16,SPY,S,CBOE,203454
2007/10/17,SPY,S,CBOE,269286
2007/10/18,SPY,S,CBOE,152473
2007/10/19,SPY,S,CBOE,401851
2007/10/22,SPY,S,CBOE,232763
2007/10/23,SPY,S,CBOE,128845
2007/10/24,SPY,S,CBOE,294809
2007/10/25,SPY,S,CBOE,206783
2007/10/26,SPY,S,CBOE,160948
2007/10/29,SPY,S,CBOE,130679
2007/10/30,SPY,S,CBOE,160001
2007/10/31,SPY,S,CBOE,182831
2007/11/01,SPY,S,CBOE,277700
2007/11/02,SPY,S,CBOE,226626
2007/11/05,SPY,S,CBOE,246948
2007/11/06,SPY,S,CBOE,256296
2007/11/07,SPY,S,CBOE,312583
2007/11/08,SPY,S,CBOE,591551
2007/11/09,SPY,S,CBOE,304167
2007/11/12,SPY,S,CBOE,342212
2007/11/13,SPY,S,CBOE,277570
2007/11/14,SPY,S,CBOE,280676
2007/11/15,SPY,S,CBOE,473660
2007/11/16,SPY,S,CBOE,371778
2007/11/19,SPY,S,CBOE,244148
2007/11/20,SPY,S,CBOE,284424
2007/11/21,SPY,S,CBOE,273764
2007/11/23,SPY,S,CBOE,89586
2007/11/26,SPY,S,CBOE,175882
2007/11/27,SPY,S,CBOE,229660
2007/11/28,SPY,S,CBOE,221435
2007/11/29,SPY,S,CBOE,167631
2007/11/30,SPY,S,CBOE,200022
2007/12/03,SPY,S,CBOE,132805
2007/12/04,SPY,S,CBOE,97936
2007/12/05,SPY,S,CBOE,162054
2007/12/06,SPY,S,CBOE,209283
2007/12/07,SPY,S,CBOE,139964
2007/12/10,SPY,S,CBOE,186931
2007/12/11,SPY,S,CBOE,540226
2007/12/12,SPY,S,CBOE,345586
2007/12/13,SPY,S,CBOE,281472
2007/12/14,SPY,S,CBOE,153893
2007/12/17,SPY,S,CBOE,343527
2007/12/18,SPY,S,CBOE,274306
2007/12/19,SPY,S,CBOE,308754
2007/12/20,SPY,S,CBOE,483401
2007/12/21,SPY,S,CBOE,398528
2007/12/24,SPY,S,CBOE,123521
2007/12/26,SPY,S,CBOE,96247
2007/12/27,SPY,S,CBOE,155219
2007/12/28,SPY,S,CBOE,178009
2007/12/31,SPY,S,CBOE,204918
2008/01/02,SPY,S,CBOE,217821
2008/01/03,SPY,S,CBOE,192821
2008/01/04,SPY,S,CBOE,463766
2008/01/07,SPY,S,CBOE,187101
2008/01/08,SPY,S,CBOE,321862
2008/01/09,SPY,S,CBOE,310220
2008/01/10,SPY,S,CBOE,433829
2008/01/11,SPY,S,CBOE,276090
2008/01/14,SPY,S,CBOE,167831
2008/01/15,SPY,S,CBOE,405094
2008/01/16,SPY,S,CBOE,552420
2008/01/17,SPY,S,CBOE,823658
2008/01/18,SPY,S,CBOE,655605
2008/01/22,SPY,S,CBOE,504079
2008/01/23,SPY,S,CBOE,527259
2008/01/24,SPY,S,CBOE,300311
2008/01/25,SPY,S,CBOE,371614
2008/01/28,SPY,S,CBOE,219696
2008/01/29,SPY,S,CBOE,237294
2008/01/30,SPY,S,CBOE,307651
2008/01/31,SPY,S,CBOE,447678
2008/02/01,SPY,S,CBOE,391620
2008/02/04,SPY,S,CBOE,279936
2008/02/05,SPY,S,CBOE,308193
2008/02/06,SPY,S,CBOE,253916
2008/02/07,SPY,S,CBOE,277824
2008/02/08,SPY,S,CBOE,270483
2008/02/11,SPY,S,CBOE,215171
2008/02/12,SPY,S,CBOE,361254
2008/02/13,SPY,S,CBOE,310448
2008/02/14,SPY,S,CBOE,373117
2008/02/15,SPY,S,CBOE,498433
2008/02/19,SPY,S,CBOE,258078
2008/02/20,SPY,S,CBOE,241366
2008/02/21,SPY,S,CBOE,185755
2008/02/22,SPY,S,CBOE,245051
2008/02/25,SPY,S,CBOE,227723
2008/02/26,SPY,S,CBOE,301829
2008/02/27,SPY,S,CBOE,286150
2008/02/28,SPY,S,CBOE,270388
2008/02/29,SPY,S,CBOE,360918
2008/03/03,SPY,S,CBOE,237575
2008/03/04,SPY,S,CBOE,311770
2008/03/05,SPY,S,CBOE,283815
2008/03/06,SPY,S,CBOE,311434
2008/03/07,SPY,S,CBOE,464736
2008/03/10,SPY,S,CBOE,452738
2008/03/11,SPY,S,CBOE,387054
2008/03/12,SPY,S,CBOE,300067
2008/03/13,SPY,S,CBOE,505592
2008/03/14,SPY,S,CBOE,761196
2008/03/17,SPY,S,CBOE,559996
2008/03/18,SPY,S,CBOE,549257
2008/03/19,SPY,S,CBOE,468642
2008/03/20,SPY,S,CBOE,454520
2008/03/24,SPY,S,CBOE,384100
2008/03/25,SPY,S,CBOE,276413
2008/03/26,SPY,S,CBOE,233654
2008/03/27,SPY,S,CBOE,250934
2008/03/28,SPY,S,CBOE,181003
2008/03/31,SPY,S,CBOE,169486
2008/04/01,SPY,S,CBOE,316880
2008/04/02,SPY,S,CBOE,311815
2008/04/03,SPY,S,CBOE,244783
2008/04/04,SPY,S,CBOE,285873
2008/04/07,SPY,S,CBOE,265094
2008/04/08,SPY,S,CBOE,168766
2008/04/09,SPY,S,CBOE,247234
2008/04/10,SPY,S,CBOE,247588
2008/04/11,SPY,S,CBOE,262863
2008/04/14,SPY,S,CBOE,205585
2008/04/15,SPY,S,CBOE,220737
2008/04/16,SPY,S,CBOE,296451
2008/04/17,SPY,S,CBOE,271092
2008/04/18,SPY,S,CBOE,567502
2008/04/21,SPY,S,CBOE,142453
2008/04/22,SPY,S,CBOE,226750
2008/04/23,SPY,S,CBOE,149786
2008/04/24,SPY,S,CBOE,251812
2008/04/25,SPY,S,CBOE,224512
2008/04/28,SPY,S,CBOE,218372
2008/04/29,SPY,S,CBOE,177196
2008/04/30,SPY,S,CBOE,215489
2008/05/01,SPY,S,CBOE,247065
2008/05/02,SPY,S,CBOE,288548
2008/05/05,SPY,S,CBOE,262911
2008/05/06,SPY,S,CBOE,328961
2008/05/07,SPY,S,CBOE,297749
2008/05/08,SPY,S,CBOE,258192
2008/05/09,SPY,S,CBOE,236592
2008/05/12,SPY,S,CBOE,238109
2008/05/13,SPY,S,CBOE,219296
2008/05/14,SPY,S,CBOE,332405
2008/05/15,SPY,S,CBOE,328046
2008/05/16,SPY,S,CBOE,344457
2008/05/19,SPY,S,CBOE,303374
2008/05/20,SPY,S,CBOE,337860
2008/05/21,SPY,S,CBOE,289076
2008/05/22,SPY,S,CBOE,166768
2008/05/23,SPY,S,CBOE,326903
2008/05/27,SPY,S,CBOE,256020
2008/05/28,SPY,S,CBOE,170100
2008/05/29,SPY,S,CBOE,283256
